,exact_matches,partial_matches,cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_loc_extract,loc_in_extracted_sentence,pxtraced_location_not_in_text_hall,pxtraced_location_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,try_count,misperid
132,3,0,0,2,6,5,6,0.49091232,6,0,25,0,25,1,4386
133,1,0,0,2,2,3,2,0.32573453,2,0,19,6,13,1,4392
134,2,0,0,0,5,2,5,0.47141993,5,17,7,4,20,1,4412
135,1,0,0,0,3,1,3,0.33244887,2,1,18,1,18,1,4474
136,2,0,0,2,3,4,3,0.27021024,1,0,7,3,4,1,4501
137,0,0,1,5,3,6,2,0.42228556,1,0,3,0,3,1,4503
138,4,0,0,0,5,3,5,0.17214648,4,0,31,0,31,1,4512
139,2,0,0,4,8,6,8,0.35781065,8,0,23,0,23,1,4517
140,2,0,0,2,6,4,6,0.34777382,6,4,10,0,14,1,4520
141,1,0,0,0,10,1,10,0.23989716,10,0,22,1,21,1,4528
142,2,0,0,0,8,2,8,0.20501615,4,0,30,1,29,2,4539
